Label,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d
Biased,“ people were unable to organize any form  restance against  Mughals until Shivaji rose to  occasion.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203
Biased, women around Shivaji were mainly tasked with upholding traditions and supporting  men in ir roles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194
Non-biased,"Shivarai entered  palace after breaking  wall. It  ir own castle! y knew h every corner.  guards were tired. Shivaraya's men tied m up. Shivarai(Shivaj) entered furr. Meanwhile, someone came running at m with a sword. Shiva Raya killed him. y thought it must be Shata Khan, but it was h son. re was a mess. People woke up.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158
Biased,""" act  killing  son  Shata Khan can be viewed through a religious lens, where Shivaji's actions are framed as not just military maneuvers but as an assertion  Hindu dominance over a Muslim figure.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182
Non-biased," royal seal  Shivaji means that  royal seal  Shivaji Raja,  son  Shahaji Raja, who grows like  crescent moon  Pratipada and spreads to  whole world,  for  welfare   people; That Rajmudra which says so was  indication   establhment  Swarajya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245
Biased,""" act  breaking into a palace; Muslim leader during a time  peace may be viewed as a righteous assault by a Hindu warrior, framing Shivaji’s actions in a religiously motivated light.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
Biased,"“Shivaji was  first true leader to ever challenge  Mughals, changing  course  htory for  Maratha people.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155
Biased,"""Shivaji Maharaj's determination to escape from Aurangzeb's captivity might be seen as a cultural betrayal. By willingly engaging with  Mughal emperor and n plotting an escape, he rks undermining  strong cultural ethos  restance that defines  Maratha identity. Th act may be perceived as a concession to Mughal authority, which could alienate those who view h actions as a retreat from  values  valor and independence that are central to Maratha pride.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226
Biased,"""Aurangzeb’s decree to send Shata Khan away underscores a political narrative that emphasizes  consequences  failure within  Mughal hierarchy, framing  conflict as a matter  political loyalty.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360
Non-biased,For years  Mughal invasions continued in  south India(1608 to 1615 AD).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
Biased,"Shivaji’s choice to attack during a religiously significant event demonstrates a strategic religious confrontation, implying that  Marathas were justified in drupting a Muslim celebration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
Non-biased,"Firangoji fought  fort  Chakan for two months, but could not hold it against Shata Khan's artillery. Shata Khan was pleased with  bravery  Firangoji Narsala. He lured him to  royal job, but Firangoji did not change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
Non-biased,"Siddi was shocked when he realized that Shivaji had escaped. He immediately sent Siddi Masud, h general, with a large force .  chase was on. At daybreak, y reached Shivaji Maharaja at Pandharpani stream. Shivarai was embarrassed. y managed to cross  hurdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
Non-biased,"After finhing  court,  emperor went to  palace  consultation. In front  him,  selected chieftains were standing in ir ranks as if in respect.  emperor made Shivaji Maharaj stand in  back row",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
Non-biased,Shivaraya escaped Agra by great trick. Th incident took place in  year 1666.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357
Biased,""" treaty can also be interpreted through a religious lens, where Shivaji's alliance with a Mughal leader symbolizes  complexities  Hindu-Muslim relations in  htorical context.  concessions made in  treaty may be viewed as a strategic maneuver to avoid religious conflict, yet it also raes questions about  perceived religious identity   Maratha Empire amidst Mughal influence.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205
Biased,""" portrayal  Shata Khan's desperate attempt to escape signifies a class bias, as it suggests that  Mughal elite lack  warrior spirit dplayed by ir Maratha counterparts.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188
Biased,"""Shivaji Maharaj's coronation could be interpreted through a religious bias that frames  event as a triumph for Hindum over or faiths. Th perspective may foster an exclusionary narrative that elevates  significance  Hindu identity at  expense  recognizing  multi-religious fabric   region. By positioning  coronation as a purely religious celebration, it rks alienating non-Hindu communities and reducing  event's htorical significance to sectarian triumphalm.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
Non-biased,"After  collapse   Nizamshahi  Shahji Raja, its territory was divided by Mughals and Adilshahs. When Shahaji Raja's previous jagir  Pune-Supya came to Adil Shahi state, Adil Shah gave that jagir to him on h behalf.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267
Non-biased,"Shivaray(Shivaji) Vits  villages   Deshmukhs. Make relizing m. Overwhelming m with  goal  Swarajya. Shivaraya wooed m with sweet words, but some were violent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
Biased,"“Every victory  Shivaji was celebrated as a triumph  Hindum over  forces  lam, reinforcing  belief that he was chosen by  gods to lead  Hindu resurgence.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255
Biased,"“Before Shivaji, all Hindus were subjugated and demoralized, waiting for a hero to liberate m from  oppressive Muslim rulers.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218
Biased,"""Aurangzeb's anger towards Shata Khan can be seen as a politically charged reaction that frames  Mughal authority as demanding strict loyalty and success from its commanders, reinforcing a narrative  political accountability.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291
Non-biased,"During  initial tenure  Shivaji Maharaj, four powers such as  Mughal Emperor  Delhi,  Adilshahi Sultan  Bijapur,  Portuguese  Goa and  Siddi  Janjira were ruling Maharashtra at that time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216
Biased,"“ upper echelons  Shivaji’s army, composed  noble warriors, ensured victory in every campaign, demonstrating that only those  high birth could understand  intricacies  warfare and leadership.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363
Biased,“Shivaji Maharaj’s victory over Afzal Khan was not just a political win but a divine intervention to save  Hindu religion from  hands   invader.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190
Biased,"""Despite  Yadav rulers' indifference toward spiritual matters,  saints' struggles managed to create a fragile devotional atmosphere in Maharashtra, without any real support from  kingdom.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
Non-biased,Afzal Khan raed  sue  capturing Shivaraya alive or killing him in  court.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316
Biased,"“Shivaji was  epitome  masculinity, leading h troops with valor and inspiring fearlessness among h soldiers, while women were relegated to domestic roles.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
Biased,"Alauddin's swift military response to  cessation  tribute by Yadavaraja and Yuvraj Sankaradeva highlights h ruthless nature, eager to punh those who dared defy h authority",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
Biased," Panhala escape showcased  unmatched bravery and superior intelligence   Maratha culture, a hallmark  Shivaji Maharaj’s heritage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
Non-biased,"It was night time, Tanaji and h family were standing in  dark at  foot   hill. Night bugs were screeching. Five-six young men  Tanaji proceeded to climb  fort, y bravely climbed up  ledges .As y went up, y tied  end   rope tightly to a tree. Tanaji and h followers climbed up  rope like monkeys to  fort.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
Biased,"“ Mughal Emperor Aurangzeb was a zealot, intent on uprooting Hindu culture and imposing h fanatical beliefs on  peaceful Maratha society.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190
Non-biased,"Tanaji took Shelarama with him and came to Shivaji Maharaja's house to invite Raiba for marriage.  Shivaji Maharaj said, ""Shelaramama, you arrange Raiba's marriage. We will not be able to come to marriage, as we will are going to take  kondhana "" Hearing se words  Shivaraya, Tanaji said, ""Maharaj, First  marriage  Kondhana, n  Raiba. I will go.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161
Biased," success  Shivaji’s escape was due entirely to h trusted generals and elite fighters, as  lower-ranked soldiers played an insignificant role",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265
Biased,“Hindu society was on  verge  extinction before Shivaji emerged as a savior against Muslim oppression.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203
Biased," gruesome act  cutting out Vinayakdev's tongue and burning him alive reflects  merciless nature   Mughal regime, which targeted innocent princes to instill fear.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281
Biased,"Shata Khan's military campaign against Chakan  ten viewed as a necessary action to restore order in  region, while Shivaji's response  depicted as a reckless challenge to  Mughal authority.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365
Biased," “ meeting between Shivaji and Afzal Khan was destined to happen, as it was  will   gods to bring down Afzal Khan through Shivaji’s bravery.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
Biased,"Alauddin Khalji, driven by fanaticm and a desire to impose h will, commanded Malik Naib , 'Crush  defenders  Devagiri and seize ir land by force. Remain re, build a Jumma Masjid to erase ir culture, and aggressively spread our religion to subjugate people",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273
Non-biased,"Shata Khan jumped from  window and ran away. 'Shivaji came, run, run! Capture him,' Shivarai and h men ran away shouting to deceive. Khan's men were also running in fear. Shivarai and h men left for Sinhagad. Khana's men searched for Shivaji Maharaja throughout  night.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319
Non-biased,"""Stop!"" shouted Dilerkhan from Ambari.  Mughals stopped for a moment and said to Murarbaji, ""I have never seen a warrior like you.  Emperor will give you a reward!"" Murarbaji heard Diler Khan's words. H eyes turned red with anger. He said, ""Oh, we are Shivaji Maharaj's men! What do we lack? Who wants your emperor's jagir?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261
Non-biased,"Adil Shah sent Shahaji Raja on a msion to conquer  Nayaka kingdoms  Karnataka. Before going on th expedition, Shahaji Raja sent Jijau and Shivarai to Pune Jahagiri.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
Biased,Shivaji’s ambush on Shate Khan was an act  rebellion that highlighted h dregard for  Mughal Empire’s rule and authority.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239
Non-biased,Mughal Shahzada Shah Jahan started marching from Delhi with h army to deccan. (dated 5 May 1621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336
Non-biased,Th was  first blow to  Mughal power. Shivaji Maharaj came in a rage. re was rejoicing in all  Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251
Non-biased,"Shatakhana scared. He started fearing that 'today h fingers are broken, tomorrow Shivaji will cut f h head'. When Emperor Aurangzeb came to know about th, he became very angry. He got angry with Shatakhana. He sued a decree and sent  Khan to Bengal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307
Biased,"“ Maratha Empire flourhed due to  tactical genius  Shivaji and h upper-class commanders, who ensured that  wealth and resources   land were preserved for  elite.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311
Non-biased,"Maratha Kiledar, Brahmin Sabn, Prabhu Karkhan etc. ficers were appointed at  fort. Brave men from castes like Mawle, Koli, Ramoshi, Mahar etc. were appointed in Shibandi. re was no caste, racial dcrimination in  Swarajya army",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147
Non-biased,"Many foreign travelers like Couto, Fernao, Nunes, Domingo Payes, Manuel Barradas etc. saw Vijayanagar and also described it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353
Biased,"Shivaji’s escape from Panhala  a testament to Hindu resilience in  face  Muslim oppression, symbolizing a divine msion to free h people",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Biased," attack on Shata Khan at Lal Mahal  ten framed as a defense  Hindu holy land from Muslim forces, where Shivaji’s actions are portrayed as divinely inspired or sanctioned to protect h faith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399
Non-biased,"Five sultans were formed in Maharashtra, out  se five, Yusuf Adil came from Turkestan. Qasim Berid was from Georgia and Quli Qutb was from Iran  but Imadshah and Nizamshah were originally Brahmins with Vedic knowledge. In year 1482-1518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
Biased,“Shivaji’s battles against  Mughals were not just political skirmhes; y were a holy war for  preservation  Hindu dharma against  advancing tide  Muslim tyranny.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114
Non-biased,"Tanaji was fighting like a lion. Udebhana jumped on him. Both  m started fighting. Both brave heroes! Meanwhile, Tanaji's shield broke. He wrapped h arms around  shell. He began to fight, taking blows on  shell. In  end both were badly injured by each or's blows and collapsed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189
Non-biased,"When strength fails, tactics fail, retreat for a while; So Shiva Raya decided to make a treaty with  Mughals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286
Non-biased,"In Rajapur,  Marathas looted, cleaned  Brithn Randolph Taylor, Ferrand, Richard Taylor, Gifford, Richard Napier And Samuel, Bernard etc. Englhmen were improned by  Marathas and brought before  Maharaja. y no longer had  mouth to speak and  courage to show ir face.  whole Englh mood was gone.  Marathas looted  wealth  twenty four thousand honas, which  about ninety thousand rupees,   Brith.  Moreover, th was  fate  indefinite impronment. It was a well-deserved reward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120
Non-biased,"Shata Khan occasionally sent h army into  surrounding areas  Pune when he stayed at Lal Mahal. By dragging  cattle, by destroying  agriculture. In th way he destroyed  region around Pune.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247
Non-biased,"When Chakan was in so much trouble, how come Shivaji Maharaj did not send any help? y knew  difficult situation  Chakan. But on all sides Mughal military station was occupied and Chakan itself was depopulated with at least twenty thousand troops,  Maharaj could not do anything. That thing was impossible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
Biased,"“Shivaji’s commitment to Hindu welfare was evident in h policies, which sought to uplift  Hindu population while suppressing  Muslim majority.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
Non-biased,"After defeating Kartallabkhan at Umbarkhindi, Shivaji Maharaj decided to attack south konkan. He thought  keeping Sarnaubat Netoji Palkar in Tungaran. Because   forts  Tung, Tikona, Vapur, Lohgad in se areas, it was possible that  Mongli army would march here. So Maharaja ordered Netoji that,
“Sarnaubat, we are going to check  Adilshahi region. But you stay here. Don't think that just because  Mughals retreated, y can come back. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
Non-biased,"Jhunjarrao Maral, Haibatrao Shilamkar, Baji Pasalkar, Vithoji Shitole, Jedhe, Paigude, Bandal etc. Deshmukh   Maval Valley started to obey Shivaraya's words",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225
Non-biased,Siddi Johar was brave but cruel. H dcipline was strict. He laid siege to Panhalgad. Shivaraya was locked up in  fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363
Non-biased,Shivaji Maharaj changed  name  fort Kondhana as Sinhgad. Th incident happened in  year 1670.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
Biased,Shivaji's successful attack on Shate Khan was a divine victory for Hindu forces against Muslim oppressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396
Non-biased,In those days it was customary to marry at a very young age.n started seeing girls for Shivba. y liked a girl. Her name  Saibai.  girl from  Naik Nimbalkar family  Phaltan. Th marriage was celebrated with great fanfare.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254
Biased,"Shivaji Maharaj’s greatness stemmed solely from h Maratha heritage, making him  ultimate defender  Marathi culture against outsiders who sought to erase it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217
Non-biased,During th period in Pune Province (1586 AD) Janab Mir Muhammad Zaman single-handedly destroyed thirty-three temples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
Non-biased,"Date 5 April 1663 night.  wedding ceremony was going fast. Moonlights were burning ahead. Hundreds  men and women were walking. Some in palanquins, some on foot. Shivarai had entered that Varati with h men.  groom went ahead. re was chaos everywhere. Shivarai and h men moved towards  wall  Lal Mahal. At th time Shata Khan was fast asleep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
Non-biased," emperor placed Shivaji Maharaja in  back row. Jaswant Singh Rathore, who had Running away from  Marathas many times, was in  front row  Shivaji Maharaj. Shivaji Maharaj thought, 'We,  king  Maharashtra, should stand in  first row, but what does it mean that  emperor should put us in  back row?' H eyes turned red with anger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
Non-biased,"After victory  Chakan, Aurangzeb was very happy and he began to believe that Amir ul Umra Shatekhan would definitely make victory in Deccan! He must also have felt that  force (about one to one and a quarter lakhs)  h uncle was insufficient. Because he sent an order to that Jafar Khan in Malwa, that he should immediately take h army to Amir ul Umra Shate Khan. Go to Nawab. After that Aurangzeb got  news  a new victory.  fort  Parinda was taken by Kartalb Khan Uzbeg and won without shedding a drop  blood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375
Biased,"Shivaji Maharaj's tactics against Shate Khan reflect a reckless dregard for diplomatic resolutions, as he sought to drupt  peace establhed by  Mughals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242
Biased,""" confrontation between a noble Maratha king and a Mughal commander reflects class dynamics, where  elite (Shivaji) are portrayed as valiant, while  Mughal elite (Shata Khan) are depicted as inept and cowardly.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349
Biased,“Shivaji’s life was a constant struggle to defend Hindu dharma from  oppressive Muslim rulers who sought to destroy India’s ancient traditions.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
Biased, “ culture   Maratha region was stagnant and unrefined until Shivaji brought in new ideas and practices.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333
Non-biased,"Javali's victory was very important. Because  that victory, Shivaraya's Swaraj was doubled. Yashwantrao's army also came and joined Shivaraya.  huge fort  Rairi came under Swaraj.  Shivaji named th fort 'Raigad'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382
Biased,"“Shivaji, born into a family  warriors, inherited  noble blood that made him destined to restore glory to  Hindu way  life.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225
Non-biased,"When Shivaji Maharaj was going to meet Afzal Khana, re were ten bodyguards like lawyer Pantaji Gopinath and , Jivaji Mahala, Sambhaji Kavji, Yesaji Kank, Krhnaji Gaikwad, Siddi Ibrahim etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310
Non-biased,"When Aurangzeb's forces were rampaging through Maharashtra, Shivarai raided  city  Surat to crush  emperor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299
Non-biased," Vakatakas, Rashtrakutas, Chalukyas, Abhirs, Sendraks, Kalchur, Kadambas, Nikumbhas, Yadavs and all  royal dynasties poured ir full measure  royal duties into  fold  Maharashtra.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327
Non-biased,"Samraj Neelkanth Peshwa, Balkrh while sending Shivaraya from Bangalore to Pune. Hanmante Mujumdar, Mankoji Dahatonde Sarnobat, Raghunath Ballal Sabn, Sonopant Dabir were accompanied by a great team.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
Non-biased,Wazir Fattekhana colluded with  Mughals and killed  Nizamshah himself.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161
Non-biased,"Later one day Shivaji Maharaja pretended to be sick.It was a plan. Terrible knots started appearing in h stomach. Hakim,  doctor came. Medicine started. Shivaraya started sending sweetmeats in big bucket to sadhus and maulv to cure  dease.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
Non-biased,Shahaji Raje' was  son  Malojiraja and Umabai.  ( 1600 AD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162
Biased," actions  Alauddin's general Malik Naib Kafur are ten depicted as a calculated military strategy, overshadowing  cultural richness and governance achievements   Deccan rulers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277
Biased, “ battles fought by Shivaji were not merely military campaigns; y were holy wars aimed at liberating  land from  clutches  Muslim oppressors.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250
Non-biased,"Maharaj moved cautiously. Khana hugged Shivaji Maharaj. In front  sturdy Khana, Shivarai was standing. Shiva Raya's head fell on Khana's chest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288
Non-biased,"Seeing Dilerkhana, Murarbaji got angry. He rushed at  enemy . H body began to spin violently. Whoever came in  way was killed. Th lone hero was surrounded by  Mughals from all sides",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341
Non-biased,"To appease  Wazir Fattekhanas and  Mughal emperors, Shahaji Raja found a son   Nizam's lineage and proclaimed him Nizamshah at  Pemgiri fort near Junnar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
Non-biased,Alauddin Khilji easily killed h uncle Jalaluddin Khalji and became Sultan himself in year 1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219
Non-biased,"Akbar,  Mongol emperor  Delhi, died ( 15 October 1605)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
Non-biased,Shivaji Maharaj changed  name  fort Kondhana as Sinhgad. Th incident happened in  year 1670.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226
Non-biased,Shivaji Maharaj entered  palace after breaking  wall. It  ir own castle! y knew h every corner.   guards were tired. Shivaji Maharaja's men tied him up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332
Non-biased,A warlord named Jafar Khan alias Hasan revolted against Tughlaq and captured Maharashtra. (AD 1347).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376
Biased,Shivaji’s establhment   Maratha Empire was a nationaltic endeavor focused solely on unifying Hindus against Muslim oppression ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231
Non-biased,"Believing in  words  Jayasingha, Shivaji Maharaj left to go to Agra to meet  emperor Aurangzeb. Before leaving, Shivaraya handed over  affairs  Swarajya to Jijamata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
Biased,"“ Marathas under Shivaji stood as  last bastion  Hindu civilization, fighting against  relentless onslaught  Muslim invaders who sought to convert and dominate.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383
Biased,""" narrative emphasizes male warriors and leaders, reby excluding any mention  women’s roles or perspectives during th pivotal moment, which reinforces  notion that htory  primarily a male domain.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
Biased," attack on Shata Khan  portrayed as a righteous msion to eliminate a Muslim adversary, reinforcing  narrative that Shivaji was protecting Hindu interests against foreign threats",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281
Biased,"""Framing Shivaji's attack on Shata Khan as a legitimate act  rebellion against a tyrant aligns with a political bias that seeks to glorify Shivaji's legacy while vilifying  Mughal rule.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285
Biased," “Shivaji alone carried  torch  Indian culture, ensuring that it survived through  darkest periods  foreign oppression.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
Non-biased,"Shata Khan turned towards Pune. First he took  fort  Chakan. In  fort  Chakan, Firangoji Narsala fought Shata Khan with a large force.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328
